dataset,total_data_size,test_size,train_time_nn,train_time_logreg,pred_time_nn,pred_time_logreg
power-at-train.tsv,15971,3255,28.4035,8.9096,0.1689,0.0253
power-ba-train.tsv,2531,486,4.649,2.3196,0.0218,0.0026
power-be-train.tsv,4765,949,8.3772,5.0922,0.045,0.0076
power-bg-train.tsv,6699,1340,12.0584,2.5172,0.0685,0.0095
power-cz-train.tsv,6744,1351,12.2962,1.8829,0.0672,0.0167
power-dk-train.tsv,5493,1126,9.8984,3.7777,0.0534,0.007
power-es-ct-train.tsv,1525,309,2.8686,2.3263,0.0148,0.003
power-es-ga-train.tsv,953,170,1.8625,0.9535,0.0087,0.0021
power-es-pv-train.tsv,1031,235,1.9448,1.257,0.0108,0.0025
power-es-train.tsv,7198,1480,12.8025,6.405,0.0718,0.0144
power-fi-train.tsv,6111,1251,10.9081,3.9751,0.0672,0.0064
power-fr-train.tsv,9813,1964,17.6795,2.4557,0.0949,0.0101
power-gb-train.tsv,33257,6626,59.8858,13.1823,0.3602,0.0389
power-gr-train.tsv,6389,1294,11.451,4.0103,0.0632,0.014
power-hr-train.tsv,10741,2088,19.7815,11.869,0.1033,0.0182
power-hu-train.tsv,2597,517,4.9776,4.0125,0.0267,0.0068
power-it-train.tsv,7848,1663,14.1855,5.2805,0.0853,0.017
power-lv-train.tsv,1410,304,2.6253,5.1664,0.0148,0.0018
power-nl-train.tsv,7906,1616,14.5281,3.9397,0.0771,0.0141
power-pl-train.tsv,9705,1977,17.3922,5.5512,0.0948,0.0109
power-pt-train.tsv,7692,1651,14.0382,10.1987,0.0801,0.012
power-rs-train.tsv,15114,3005,26.9271,24.063,0.1623,0.0398
power-si-train.tsv,9040,1831,16.3611,7.982,0.0938,0.0131
power-tr-train.tsv,17384,3351,31.8839,7.2411,0.1734,0.0231
power-ua-train.tsv,11324,2182,21.0372,11.1509,0.1053,0.026
